La duración promedio de viajes que iniciaron en días con precipitaciones mayores a 30mm.
Cantidad de fechas: 63
Fecha - Promedio
2011-03-05 - 1667.36
2011-09-06 - 755.64
2011-03-09 - 830.04
2011-12-06 - 685.94
2014-06-23 - 840.95
2014-08-12 - 789.15
2012-02-28 - 773.34
2012-04-21 - 1647.17
2012-09-17 - 964.8
2013-07-10 - 869.2
2013-11-25 - 688.46
2015-08-10 - 856.64
2014-11-25 - 791.3
2014-04-29 - 621.45
2014-02-02 - 950.53
2015-06-26 - 1177.75
2016-10-20 - 674.76
2016-09-27 - 972.65
2017-05-04 - 1003.78
2018-07-24 - 775.56
2018-09-08 - 1161.04
2018-04-15 - 1162.63
2018-10-10 - 966.67
2018-11-04 - 1377.25
2019-10-30 - 677.54
2020-10-28 - 2156.44
2020-10-11 - 1439.63
2020-11-29 - 1987.02
2019-09-30 - 695.99
2011-04-15 - 1281.0
2011-09-04 - 2159.19
2011-08-26 - 1059.07
2011-09-07 - 706.04
2012-10-28 - 1141.09
2012-12-25 - 1579.22
2013-06-06 - 960.92
2013-06-09 - 1440.36
2013-10-09 - 795.04
2013-10-10 - 681.26
2013-12-28 - 1425.64
2013-01-30 - 761.76
2014-08-11 - 1068.24
2014-10-14 - 918.72
2014-04-14 - 1309.04
2014-05-15 - 919.74
2015-09-28 - 937.68
2015-10-01 - 673.48
2016-08-15 - 881.42
2017-04-30 - 662.03
2017-10-28 - 1495.38
2017-07-27 - 1172.24
2017-07-05 - 1165.09
2018-07-20 - 1284.45
2018-11-14 - 711.02
2018-12-14 - 773.11
2018-05-17 - 878.93
2018-11-23 - 1131.16
2018-06-02 - 1352.6
2019-03-20 - 910.26
2019-10-16 - 683.09
2020-11-10 - 1406.03
2020-08-03 - 2197.95
2020-04-29 - 2260.28
